LEFT,RIGHT,DIRECTION
16662,7720.875,Left
18988,6287.0625,Left
20342.625,5614.8125,Left
19838.5,9613.25,Left
21411.8125,6512.5,Left
19926.8125,5957.5,Left
20106.6875,3942.8125,Left
17444.375,7961.5,Left
17376.5,7123.0625,Left
19839.1875,6559.375,Left
16382.75,7512.0625,Left
14889,5683.8125,Left
14227.625,5667.8125,Left
15101.1875,9683.5625,Left
16499.6875,6098,Left
16842.25,6676.1875,Left
19813.8125,7031.0625,Left
20783.875,5444.25,Left
21079.8125,5412.6875,Left
20661.375,5443.875,Left
21165.3125,6330.125,Left
18792.9375,4405.5625,Left
17686.0625,7252.8125,Left
18344.0625,11173,Left
19443.3125,11384.1875,Left
19135.6875,9801.8125,Left
19302.6875,9322.25,Left
18782.0625,8075.1875,Left
17457.25,8238.9375,Left
15152.9375,8446.3125,Left
17140.1875,14337.6875,Left
16718.5625,11581.125,Left
18074.3125,9345.0625,Left
16977.625,5886.375,Left
19994.4375,7329,Left
19632.5,9745.3125,Left
20441,6704.3125,Left
20974.5,5759.75,Left
21046.375,6479.75,Left
20927.625,7099.125,Left
20387.9375,7430.5,Left
22760.3125,5147.75,Left
23177.875,8258.9375,Left
20433.0625,4261.125,Left
19995.5,4437,Left
19509.0625,9249.5625,Left
16024.8125,7952.375,Left
18248.4375,10545.25,Left
19738.5625,6875.5,Left
22371.5,7957.3125,Left
23207.5,11043,Left
23520.9375,6065.9375,Left
22912.625,3606.8125,Left
23049.1875,4070.125,Left
24064.5625,4649.5,Left
22873.375,4057.1875,Left
23475.8125,7935.25,Left
23194.5625,4889.5625,Left
20482.125,8782.625,Left
23393.375,7688.9375,Left
23391.1875,5088.25,Left
23312.125,6750.4375,Left
23150,4639.9375,Left
23691,4688.0625,Left
23267.5625,4576.9375,Left
23459.5,2837.5,Left
23374.875,5135.625,Left
23394.125,5706,Left
24077.0625,6511.0625,Left
25307.6875,3822.9375,Left
23617.875,6952,Left
22035.3125,4088.9375,Left
24040.0625,3444.6875,Left
23599.125,4858.375,Left
23234.9375,5084.4375,Left
23067.125,5268.8125,Left
25369.875,7629.75,Left
25460.4375,6444.9375,Left
23513,5176.25,Left
23257.375,5644.0625,Left
25090.625,7568.4375,Left
25356.8125,6481.6875,Left
25477.125,4066.6875,Left
24846.625,4668.375,Left
24607.4375,5412.1875,Left
25282.0625,8422.875,Left
24092.1875,5306.125,Left
24236.375,3214.625,Left
24431.75,4986.9375,Left
23365.5,4057.75,Left
23945.9375,5197.0625,Left
24224,5565.0625,Left
23556.875,5834.875,Left
22696.9375,7771.25,Left
20215.625,4742.5625,Left
19919.1875,6498.125,Left
22645.25,5701.875,Left
17140.5625,7959.8125,Left
14358.625,6068.4375,Left
18122.0625,7907.4375,Left
22672.75,5416.0625,Left
22931,7067.0625,Left
23134.6875,7579.9375,Left
20939.875,5521.75,Left
21118.25,4596.25,Left
20937.125,6818.4375,Left
21514.75,10237.75,Left
22198.6875,8011.4375,Left
22381.9375,3920.5625,Left
20738.5,4658,Left
20807.9375,10801.1875,Left
20121.0625,5594.375,Left
19290.75,7747.6875,Left
20726.9375,4937.8125,Left
20816.4375,4408.4375,Left
18486.25,6712.375,Left
21205.8125,5684.3125,Left
21630.25,6837.625,Left
21329.375,5506.625,Left
21888.1875,6979.875,Left
22423.1875,5213.25,Left
20766.6875,6626.9375,Left
17524.5,6005.6875,Left
16480.4375,8604.1875,Left
19217.25,4767.6875,Left
18919.3125,8199.0625,Left
19033.8125,5476.0625,Left
20111.1875,6619.5,Left
19186.75,7895.5,Left
16614.875,4549.625,Left
20665.5,5379.125,Left
21555.3125,4495.9375,Left
20874.375,4276.375,Left
22400.25,6511.9375,Left
23246.8125,3591.125,Left
22314.5,5712.625,Left
22284.0625,7512.0625,Left
19613.25,8722.4375,Left
20940.25,8745.8125,Left
18020.8125,6089.5,Left
16437.6875,5888.3125,Left
18119.25,7289.9375,Left
18678.125,9201.5625,Left
21502.5,8362.5625,Left
17557.4375,11150.3125,Left
19328.1875,10142.625,Left
18415.5625,9226.5,Left
18765.5,8692.125,Left
16211.875,12208.5625,Left
16068.375,9521.125,Left
17413.5,7830.625,Left
18903,5477.5625,Left
16269.3125,6313.875,Left
18743.5625,7493.125,Left
17835.25,6954.0625,Left
19305.625,7489.625,Left
